submission_id,trial_number,scenario,predicate,sentence_frame,RT,response
1814,8,inspect,tall,bare,2552,collective
1814,9,inspect,big,bare,1350,collective
1813,1,inspect,big,together,5674,collective
1813,2,inspect,tall,together,4264,collective
1813,3,inspect,big,each,2379,distributive
1813,4,inspect,heavy,each,6253,distributive
1813,5,inspect,big,bare,5162,distributive
1813,6,inspect,tall,bare,4497,collective
1813,7,inspect,tall,each,1796,distributive
1813,8,inspect,heavy,together,2815,distributive
1813,9,inspect,heavy,bare,5833,distributive
1812,1,inspect,heavy,bare,13348,collective
1812,2,inspect,big,together,12919,collective
1812,3,inspect,big,each,2618,distributive
1812,4,inspect,heavy,each,3842,distributive
1812,5,inspect,big,bare,2865,distributive
1812,6,inspect,tall,each,2487,distributive
1812,7,inspect,heavy,together,3518,collective
1812,8,inspect,tall,bare,2024,distributive
1812,9,inspect,tall,together,2993,collective
1811,1,move,tall,together,9293,collective
1811,2,move,big,bare,3947,distributive
1811,3,move,big,each,3870,distributive
1811,4,move,heavy,bare,4141,distributive
1811,5,move,tall,bare,5997,distributive
1811,6,move,tall,each,3679,distributive
1811,7,move,heavy,each,5685,distributive
1811,8,move,big,together,4549,collective
1811,9,move,heavy,together,4646,collective
1810,1,move,heavy,together,5940,collective
1810,2,move,heavy,each,4656,distributive
1810,3,move,tall,bare,3858,collective
1810,4,move,tall,together,6895,distributive
1810,5,move,big,bare,2891,distributive
1810,6,move,tall,each,2745,distributive
1810,7,move,big,together,3667,collective
1810,8,move,big,each,3667,distributive
1810,9,move,heavy,bare,5692,collective
1809,1,inspect,heavy,bare,21322,distributive
1809,2,inspect,heavy,together,17666,collective
1809,3,inspect,tall,together,9844,distributive
1809,4,inspect,heavy,each,7499,collective
1809,5,inspect,tall,bare,14531,distributive
1809,6,inspect,big,bare,5061,collective
1809,7,inspect,tall,each,5835,distributive
1809,8,inspect,big,each,4880,distributive
1809,9,inspect,big,together,5760,distributive
1808,1,inspect,heavy,bare,11933,collective
1808,2,inspect,big,bare,2314,distributive
1808,3,inspect,heavy,each,7931,distributive
1808,4,inspect,big,each,2303,distributive
1808,5,inspect,big,together,5368,distributive
1808,6,inspect,tall,bare,1605,distributive
1808,7,inspect,tall,together,1100,distributive
1808,8,inspect,heavy,together,4649,collective
1808,9,inspect,tall,each,3207,distributive
1807,1,inspect,big,bare,5236,distributive
1807,2,inspect,tall,each,2380,collective
1807,3,inspect,heavy,each,3497,distributive
1807,4,inspect,heavy,together,2426,collective
1807,5,inspect,tall,bare,3856,collective
1807,6,inspect,big,together,2646,collective
1807,7,inspect,big,each,2034,distributive
1807,8,inspect,heavy,bare,1880,distributive
1807,9,inspect,tall,together,2759,collective
1806,1,inspect,tall,bare,23017,distributive
1806,2,inspect,big,each,2448,distributive
1806,3,inspect,heavy,each,19036,collective
1806,4,inspect,heavy,bare,29626,collective
1806,5,inspect,big,together,3581,collective
1806,6,inspect,tall,each,2060,distributive
1806,7,inspect,heavy,together,9793,collective
1806,8,inspect,big,bare,2748,distributive
1806,9,inspect,tall,together,3192,collective
1804,1,move,heavy,bare,16426,distributive
1804,2,move,big,together,5678,collective
1804,3,move,big,each,7225,collective
1804,4,move,tall,each,6505,distributive
1804,5,move,heavy,each,5427,distributive
1804,6,move,tall,together,2566,collective
1804,7,move,heavy,together,3808,collective
1804,8,move,big,bare,4569,distributive
1804,9,move,tall,bare,3066,distributive
1803,1,move,big,together,19869,distributive
1803,2,move,big,bare,5006,distributive
1803,3,move,heavy,together,25988,distributive
1803,4,move,tall,together,4828,collective
1803,5,move,heavy,each,3620,distributive
1803,6,move,heavy,bare,2333,distributive
1803,7,move,big,each,2816,distributive
1803,8,move,tall,each,3460,distributive
1803,9,move,tall,bare,3708,distributive
1801,1,inspect,heavy,bare,19647,distributive
1801,2,inspect,big,each,2679,distributive
1801,3,inspect,big,bare,1990,distributive
1801,4,inspect,big,together,4350,collective
1801,5,inspect,tall,together,1534,collective
1801,6,inspect,heavy,together,1837,collective
1801,7,inspect,tall,each,5014,distributive
1801,8,inspect,tall,bare,2220,collective
1801,9,inspect,heavy,each,2607,distributive
1800,1,move,heavy,together,7347,collective
1800,2,move,heavy,each,8394,distributive
1800,3,move,big,together,2477,collective
1800,4,move,tall,together,2330,collective
1800,5,move,heavy,bare,2622,collective
1800,6,move,big,each,3631,distributive
1800,7,move,tall,bare,2198,distributive
1800,8,move,tall,each,2720,distributive
1800,9,move,big,bare,1949,distributive
1799,1,inspect,heavy,together,13816,distributive
1799,2,inspect,tall,each,4444,distributive
1799,3,inspect,tall,together,2335,collective
1799,4,inspect,tall,bare,2848,distributive
1799,5,inspect,big,bare,3826,distributive
1799,6,inspect,heavy,each,4174,distributive
1799,7,inspect,big,each,4574,distributive
1799,8,inspect,heavy,bare,3173,distributive
1799,9,inspect,big,together,5767,collective
1798,1,move,heavy,each,13894,distributive
1798,2,move,big,bare,4499,distributive
1798,3,move,heavy,bare,8413,collective
1798,4,move,tall,bare,2664,distributive
1798,5,move,tall,each,3281,distributive
1798,6,move,big,together,2894,collective
1798,7,move,heavy,together,2584,collective
1798,8,move,big,each,2664,distributive
1798,9,move,tall,together,2089,collective
1797,1,move,tall,bare,4636,collective
1797,2,move,heavy,each,9571,distributive
1797,3,move,big,together,3966,distributive
1797,4,move,big,bare,9971,collective
1797,5,move,tall,each,7793,distributive
1797,6,move,tall,together,1986,collective
1797,7,move,heavy,bare,9137,collective
1797,8,move,big,each,2580,distributive
1797,9,move,heavy,together,3549,collective
1795,1,move,heavy,each,11728,distributive
1795,2,move,tall,each,4494,distributive
1795,3,move,heavy,together,5542,collective
1795,4,move,big,bare,4025,distributive
1795,5,move,big,together,2639,collective
1795,6,move,heavy,bare,5209,distributive
1795,7,move,tall,bare,3838,distributive
1795,8,move,tall,together,3584,collective
1795,9,move,big,each,4608,distributive
1792,1,inspect,heavy,bare,8929,distributive
1792,2,inspect,tall,together,4369,distributive
1792,3,inspect,tall,each,4338,distributive
1792,4,inspect,heavy,together,12084,collective
1792,5,inspect,big,each,2953,distributive
1792,6,inspect,heavy,each,4060,distributive
1792,7,inspect,big,together,5027,collective
1792,8,inspect,big,bare,2495,distributive
1791,1,move,tall,each,5075,distributive
1791,2,move,big,together,4757,collective
1791,3,move,big,bare,2104,distributive
1791,4,move,tall,bare,1528,distributive
1791,5,move,big,each,7248,collective
1791,6,move,heavy,each,9437,distributive
1791,7,move,heavy,together,2728,collective
1791,8,move,tall,together,2232,collective
1791,9,move,heavy,bare,2315,distributive
1790,1,inspect,tall,each,4428,distributive
1790,2,inspect,big,together,2586,distributive
1790,3,inspect,heavy,together,5004,distributive
1790,4,inspect,tall,together,3210,distributive
1790,5,inspect,heavy,bare,7162,distributive
1790,6,inspect,heavy,each,11539,distributive
1790,7,inspect,tall,bare,7188,distributive
1790,8,inspect,big,each,3108,distributive
1790,9,inspect,big,bare,2664,distributive
1789,1,inspect,tall,together,5261,collective
1789,2,inspect,big,bare,6332,distributive
1789,3,inspect,big,together,3016,collective
1789,4,inspect,tall,bare,4865,distributive
1789,5,inspect,tall,each,2215,distributive
1789,6,inspect,heavy,each,5801,distributive
1789,7,inspect,heavy,bare,3595,distributive
1789,8,inspect,big,each,6120,distributive
1789,9,inspect,heavy,together,6961,collective
1788,1,move,big,bare,13884,collective
1788,2,move,heavy,each,15578,distributive
1788,3,move,tall,bare,4746,collective
1788,4,move,heavy,together,12793,collective
1788,5,move,big,together,9829,collective
1788,6,move,tall,together,2795,collective
1788,7,move,big,each,5141,collective
1788,8,move,tall,each,7259,collective
1788,9,move,heavy,bare,11362,distributive
1787,1,move,heavy,each,4651,collective
1787,2,move,big,each,3853,distributive
1787,3,move,big,bare,2932,distributive
1787,4,move,tall,together,1970,collective
1787,5,move,tall,each,1690,distributive
1787,6,move,tall,bare,2336,distributive
1787,7,move,heavy,together,4678,collective
1787,8,move,heavy,bare,2221,collective
1787,9,move,big,together,1858,collective
1786,1,move,tall,each,10163,distributive
1786,2,move,tall,together,4911,collective
1786,3,move,big,bare,5406,distributive
1786,4,move,heavy,each,10131,distributive
1786,5,move,big,each,3352,distributive
1786,6,move,tall,bare,2706,distributive
1786,7,move,big,together,3871,collective
1786,8,move,heavy,together,3706,collective
1786,9,move,heavy,bare,6714,distributive
